sorted_position,k_distance,min_samples
819,2.405745754918826,20
820,2.407281286422154,20
821,2.407912616070867,20
822,2.408190395237469,20
823,2.408473953177474,20
824,2.409344418073392,20
825,2.410483580544648,20
826,2.4106198523820854,20
827,2.4106695076755864,20
828,2.410780885992893,20
829,2.410780885992893,20
830,2.4111852939192078,20
831,2.411469051439874,20
832,2.4115085394097364,20
833,2.411613127314082,20
834,2.411717857276447,20
835,2.4125722994088465,20
836,2.4128620044004325,20
837,2.4130846316170698,20
838,2.4132922032966206,20
839,2.4140409510755827,20
840,2.414210777159468,20
841,2.414654061164664,20
842,2.415554439979498,20
843,2.4163129628326723,20
844,2.417469539961965,20
845,2.4189752965679667,20
846,2.4195837421975863,20
847,2.4200369033065363,20
848,2.4206954412941224,20
849,2.42110361965782,20
850,2.421226887208293,20
851,2.4212809719953396,20
852,2.4224044438684125,20
853,2.422636813360197,20
854,2.4227054237289125,20
855,2.4229289371703735,20
856,2.4248657428809257,20
857,2.4250922265350954,20
858,2.425265588330067,20
859,2.4259004166083455,20
860,2.42601110919521,20
861,2.4262192231188062,20
862,2.426470138622925,20
863,2.426470138622925,20
864,2.4269019072105102,20
865,2.4270283087690103,20
866,2.427322482208872,20
867,2.42749741328606,20
868,2.4275135331783466,20
869,2.42767041404998,20
870,2.4284956585429054,20
871,2.428501664792729,20
872,2.4286157149781795,20
873,2.428878720197917,20
874,2.429184380680292,20
875,2.4292049703379806,20
876,2.430127041588863,20
877,2.4313571840337587,20
878,2.431914808768044,20
879,2.432045073230641,20
880,2.433016111305359,20
881,2.433572553988629,20
882,2.433635855854444,20
883,2.4345717892257324,20
884,2.4353183454111953,20
885,2.435393186391268,20
886,2.435393186391268,20
887,2.436503049003889,20
888,2.436891909001992,20
889,2.436932155989645,20
890,2.437027572831692,20
891,2.4376537678105694,20
892,2.4376904175316882,20
893,2.4381325235652,20
894,2.4387338201679194,20
895,2.438900487878246,20
896,2.439012212771551,20
897,2.439122629174616,20
898,2.4396068830855087,20
899,2.439796867006091,20
900,2.4399281279134235,20
901,2.4405743781910205,20
902,2.440595507687546,20
903,2.4419000392342136,20
904,2.443073566837541,20
905,2.443607460886369,20
906,2.4441258906884005,20
907,2.4445514804057744,20
908,2.4450759672046414,20
909,2.445686679487745,20
910,2.446155375436258,20
911,2.4472550596529214,20
912,2.447413064182988,20
913,2.4479909138780176,20
914,2.448773053337184,20
915,2.4492675693981636,20
916,2.4505524238351946,20
917,2.452428860558438,20
918,2.4528759888081,20
919,2.4534293185626117,20
920,2.4537297065639416,20
921,2.453941308369189,20
922,2.454722303418938,20
923,2.455415206097608,20
924,2.4555479322947473,20
925,2.456290873146723,20
926,2.456881944201849,20
927,2.4569073085211905,20
928,2.4582500004197847,20
929,2.45859097161918,20
930,2.460940289724741,20
931,2.461483267436606,20
932,2.4618189031333575,20
933,2.461826841045394,20
934,2.4619408614488973,20
935,2.4619457652916665,20
936,2.4623666599384246,20
937,2.462474705318915,20
938,2.4638349597298173,20
939,2.4657353441609917,20
940,2.4661568963480467,20
941,2.466298140041103,20
942,2.4671490286812445,20
943,2.468151915406376,20
944,2.468438823099187,20
945,2.4687603961639946,20
946,2.4696544382177725,20
947,2.470272325157057,20
948,2.4703261237724607,20
949,2.4703502804732076,20
950,2.4713027460785586,20
951,2.471597306886436,20
952,2.4720570536461874,20
953,2.4730073260798067,20
954,2.474579349886476,20
955,2.474601681019646,20
956,2.474751965684497,20
957,2.4756114765666224,20
958,2.4760261080855703,20
959,2.4763231695063057,20
960,2.4784986088697534,20
961,2.4785361751046393,20
962,2.4785954355844337,20
963,2.4791998392912937,20
964,2.479451440393495,20
965,2.4808245081321227,20
966,2.4810034486896937,20
967,2.481261150339188,20
968,2.481261150339188,20
969,2.4812744327143292,20
970,2.481555586956526,20
971,2.4817011537957145,20
972,2.481978492142663,20
973,2.483190616753058,20
974,2.483571311301102,20
975,2.4839228985318473,20
976,2.4840893139764706,20
977,2.484383870169102,20
978,2.4851644679772646,20
979,2.4855955745905924,20
